Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro,num_Postal_Code,num_County
"SHRADUFF GLEBE, CLONASLEE, LAOIS",,Laois,250000.0,No,No,Second-Hand Dwelling house /Apartment,,28,9,2018,2018-09-28,77.80367058,23788.5642,-1,10
"ARDRAHAN, GALBALLY, CO LIMERICK",,Limerick,56000.0,No,No,Second-Hand Dwelling house /Apartment,,9,8,2018,2018-08-09,108.2158455,33087.12259,-1,12
"85 PARK LANE, GRANGERATH, DROGHEDA",,Meath,280000.0,No,No,Second-Hand Dwelling house /Apartment,,8,10,2010,2010-10-08,105.2931566,26831.79662,-1,16
"IMMANUEL, TOGHERSTOWN, CARLANSTOWN",,Meath,325000.0,No,No,Second-Hand Dwelling house /Apartment,,3,3,2020,2020-03-03,100.1450409,32617.34424,-1,16
"54 DRUM CARRAIG, DRUMALEE, CAVAN",,Cavan,135000.0,No,No,Second-Hand Dwelling house /Apartment,,12,7,2017,2017-07-12,82.55732554,24442.61329,-1,1
"VIANNEY, 1 THE WEAVERS, TRUSK ROAD",,Donegal,180000.0,No,No,Second-Hand Dwelling house /Apartment,,10,12,2021,2021-12-10,71.41550905,23788.7895,-1,4
"8 COIS NA HABHAINN, CROGHAN, BOYLE ROSCOMMON",,Roscommon,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2,12,2020,2020-12-02,80.51419477,26196.92451,-1,19
"FIRST FLOOR APT, ST JUDES, CORNELSCOURT VILLAGE DUBLIN 18",Dublin 18,Dublin,192775.0,No,No,Second-Hand Dwelling house /Apartment,,10,3,2015,2015-03-10,121.3860474,32997.87569,9,5
"84 DOMINICK PLACE, WATERFORD, WATERFORD",,Waterford,85000.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2017,2017-12-14,88.63183845,26241.08446,-1,22
"38 Linenfield Crescent, Ballymakenny Road, Drogheda",,Louth,251430.0,No,Yes,New Dwelling house /Apartment,,10,11,2021,2021-11-10,87.35712112,29104.06999,-1,14
"RING, TACUMSHANE, BRIDGETOWN",,Wexford,125000.0,No,No,Second-Hand Dwelling house /Apartment,,6,12,2016,2016-12-06,84.26335264,23588.08533,-1,24
"APT 3E THE WILLOW AVE, COUNTESS RD, KILLARNEY KERRY",,Kerry,200000.0,No,No,Second-Hand Dwelling house /Apartment,,28,1,2020,2020-01-28,85.50174849,27883.99729,-1,7
"Apartment 202 Beacon One, Beacon Court, Sandyford",Dublin 18,Dublin,280000.0,No,No,Second-Hand Dwelling house /Apartment,,22,8,2014,2014-08-22,120.6112462,31589.80748,9,5
"3 CHURCH HILL, LOUTH VILLAGE",,Louth,189500.0,No,Yes,New Dwelling house /Apartment,,14,7,2021,2021-07-14,87.35712112,29104.06999,-1,14
"37 FORT OSTMAN, OLD COUNTY RD, CRUMLIN DUBLIN 12",Dublin 12,Dublin,224000.0,No,No,Second-Hand Dwelling house /Apartment,,4,4,2019,2019-04-04,122.2901374,38902.81574,3,5
"TAWNAGH WEST, KINVARA, COUNTY GALWAY",,Galway,235000.0,No,No,Second-Hand Dwelling house /Apartment,,13,6,2018,2018-06-13,91.05341986,27839.69069,-1,6
"1 St Patrick's Mews, Newtown, Waterford",,Waterford,100000.0,No,No,Second-Hand Dwelling house /Apartment,,14,9,2012,2012-09-14,92.58330828,23992.66163,-1,22
"25 Morehampton Lane, Donnybrook",Dublin 4,Dublin,2048458.15,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,28,2,2018,2018-02-28,122.3417314,37406.12892,15,5
"36 BURNABY MEWS, GREYSTONES, CO WICKLOW",,Wicklow,465000.0,No,No,Second-Hand Dwelling house /Apartment,,26,5,2021,2021-05-26,103.0220033,34507.44349,-1,25
