Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro,num_Postal_Code,num_County
"50 MEADOWVALE, SLIGO, SLIGO",Unknown,Sligo,195000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,12,2015,2015-12-10,88.0164794,23926.61189,22,20
"12 SALLYGARDENS, DUBLIN ST, BALLYJAMESDUFF",Unknown,Cavan,90000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,10,2020,2020-10-30,80.12035849,26052.14604,22,1
"APT 6, 58 UPPER LEESON ST, LEESON ST DUBLIN 4",Dublin 4,Dublin,495000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,7,2017,2017-07-07,120.8404921,35777.04822,15,5
"DRUMACAVOY, CARRICKMACROSS, MONAGHAN",Unknown,Monaghan,332500.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,5,2018,2018-05-16,79.02169118,24160.97543,22,17
"TOWER VIEW AVE, THE STEEPLES 30, DULEEK",Unknown,Meath,220000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,2,2021,2021-02-18,99.69809961,33245.70711,22,16
"14 Fairfield, Dunshaughlin, County Meath",Unknown,Meath,324999.305,No,New Dwelling house /Apartment,Unknown,9,5,2019,2019-05-09,100.5939859,32000.85779,22,16
"10 GREENOGUE DR, RATHCOOLE, DUBLIN",Dublin 24,Dublin,510000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,3,2021,2021-03-12,123.9176757,41522.06589,13,5
"85 GLASAN, BALLYBANE RD, GALWAY",Unknown,Galway,97000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,7,2015,2015-07-10,90.412496,24577.95081,22,6
"138 DARGLE WOOD, KNOCKLYON RD, KNOCKLYON DUBLIN 16",Dublin 16,Dublin,450000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,2,2018,2018-02-09,122.3417314,37406.12892,7,5
"26 WOODLEIGH PARK, BLESSINGTON, WICKLOW",Unknown,Wicklow,185000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,4,2015,2015-04-29,101.496535,27591.06268,22,25
