Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro
"1 ANNE ST, CORK",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,12,2017,2017-12-20,98.94301186,29293.89683
"15 INNISMORE, CRUMLIN VILLAGE, DUBLIN 12",Dublin 12,Dublin,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,1,2,2018,2018-02-01,122.3417314,37406.12892
"14 Chapel Farm, Lusk",Unknown,Dublin,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,15,3,2010,2010-03-15,114.6838254,29224.81553
"94B RATOATH AVE, FINGLAS, DUBLIN 11",Dublin 11,Dublin,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,12,2013,2013-12-09,120.0591077,30843.61949
"Parade Field, Chapel Street, Bantry",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,8,2012,2012-08-16,99.68430933,25832.86283
"39 Mullach Glas Crescent, Mullach Glas, Mullaghmonaghan",Unknown,Monaghan,20000.0,No,New Dwelling house /Apartment,less than 38 sq metres,15,7,2015,2015-07-15,82.23831338,22355.86131
"No.5 O'Brien Street, Waterford",Unknown,Waterford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,9,2010,2010-09-09,92.45710574,23560.79291
"9/10 MITCHELLS STREET, CLONMEL, TIPPERARY",Unknown,Tipperary,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,4,2014,2014-04-09,91.24637818,23898.72928
"16 SHIP STREET, DROGHEDA, COUNTY LOUTH",Unknown,Louth,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,1,2016,2016-01-11,89.38559664,25021.96999
"235 Cratloewood, Old Cratloe Road",Unknown,Limerick,20000.0,No,New Dwelling house /Apartment,less than 38 sq metres,6,2,2015,2015-02-06,104.4601497,28396.69884
"5 THE CLOSET APTS, ROSEMARY ST, ROSCREA",Unknown,Tipperary,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,6,2017,2017-06-01,90.26349033,26724.16498
"5 RIVERWALK, CASTLEREA, ROSCOMMON",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,4,2015,2015-04-16,79.32921101,21565.04391
"8 Cedarhurst Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"Raheen, Tobinstown, Tullow",Unknown,Carlow,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,10,2012,2012-10-16,90.57142938,23471.28979
"151 Millrace Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"Apartment No. 80 'The Laurels', Ballinteer Road, Dundrum",Dublin 14,Dublin,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2012,2012-12-14,119.0093179,30840.87562
"19 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"17 DRUM CREST, KNOCK, CO MAYO",Unknown,Mayo,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,6,2015,2015-06-05,80.22447756,21808.41533
"23 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"56 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"73 BYRNE AVE, LIMERICK, LIMERICK",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,4,2014,2014-04-30,106.2192943,27820.3498
"Atticoffey West, Clontuskert, Ballinasloe",Unknown,Galway,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,30,7,2012,2012-07-30,94.27968127,24432.27114
"69 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"14 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"6A Tom Clarke Terrace, Midleton",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,10,2012,2012-10-09,99.68430933,25832.86283
"5 FRANKFIEL TERRACE, SUMMERHILL SOUTH, CORK",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,12,2016,2016-12-06,98.91884037,27690.63863
"100 GLASGOW PARK, ROXBORO RD, LIMERICK CITY",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,4,2014,2014-04-10,106.2192943,27820.3498
"30 MCCURTAIN ST, GOREY, WEXFORD",Unknown,Wexford,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,15,6,2015,2015-06-15,90.34716947,24560.19229
"BURRISH, IRISHTOWN, COUNTY MAYO",Unknown,Mayo,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,7,2020,2020-07-07,80.15103629,26085.92305
"MANDALAY, 5  SPRINGWOOD, ANNABELLA",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,7,2019,2019-07-22,102.3223668,32550.68859
