Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"NEAMH COTTAGE CARRIGDANGAN, KILMICHAEL, CORK",,Cork,30000.0,No,No,Second-Hand Dwelling house /Apartment,,12,1,2016,2016-01-12
"No.5 O'Brien Street, Waterford",,Waterford,7000.0,No,No,Second-Hand Dwelling house /Apartment,,9,9,2010,2010-09-09
"CLOGHERANE, LAURAGH, KILLARNEY",,Kerry,170000.0,No,No,Second-Hand Dwelling house /Apartment,,14,3,2018,2018-03-14
"27 The Oaks, Frenchpark",,Roscommon,30000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30,5,2014,2014-05-30
"71 Laurel Grove, Tagoat, Wexford",,Wexford,95000.0,No,No,Second-Hand Dwelling house /Apartment,,26,11,2010,2010-11-26
"TULLYCULLION, DONEGAL",,Donegal,240000.0,No,No,Second-Hand Dwelling house /Apartment,,18,12,2020,2020-12-18
"New Road, Clara",,Offaly,252500.0,No,No,Second-Hand Dwelling house /Apartment,,20,12,2010,2010-12-20
"36 Miller's Court, Old Quarter, Ballincollig",,Cork,265175.11,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,29,5,2017,2017-05-29
"APT 5 KAYNIA GIRL, STABLE YARD, TENNYPARK",,Kilkenny,80000.0,No,No,Second-Hand Dwelling house /Apartment,,25,8,2017,2017-08-25
"7 ADDISON HALL, ADDISON AVE, ADDISON PARK DUBLIN 11",Dublin 11,Dublin,185000.0,No,No,Second-Hand Dwelling house /Apartment,,31,7,2014,2014-07-31
"9 LIMELAWN GLADE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,,11,8,2017,2017-08-11
"BAY VIEW HEIGHTS, BALLYLOSKEY, CARNDONAGH",,Donegal,145000.0,No,No,Second-Hand Dwelling house /Apartment,,13,5,2019,2019-05-13
"18 SANDYVALE LAWN, HEADFORD RD, GALWAY",,Galway,135000.0,No,No,Second-Hand Dwelling house /Apartment,,23,7,2014,2014-07-23
"2 KILCORAN LODGE HOLIDAY HOMES, KILCORAN LODGE HOTEL, CAHIR",,Tipperary,105000.0,No,No,Second-Hand Dwelling house /Apartment,,27,5,2021,2021-05-27
"COUMROE, CARRIGATOGHER, NENAGH",,Tipperary,416500.0,No,No,Second-Hand Dwelling house /Apartment,,1,11,2019,2019-11-01
"67 RIDGEWOOD SQ, SWORDS, DUBLIN",,Dublin,296000.0,No,No,Second-Hand Dwelling house /Apartment,,4,12,2018,2018-12-04
"ASHLAW, OLDTOWN, DUBLIN",,Dublin,430000.0,No,No,Second-Hand Dwelling house /Apartment,,4,3,2020,2020-03-04
"34 THE CLOSE, CLONATTIN VILLAGE, GOREY",,Wexford,195000.0,No,No,Second-Hand Dwelling house /Apartment,,17,12,2019,2019-12-17
"15 AVE MARIA RD, MARYLAND, CORK ST DUBLIN 8",Dublin 8,Dublin,193000.0,No,No,Second-Hand Dwelling house /Apartment,,4,5,2016,2016-05-04
"7 GRIFFITH DRIVE, FINGLAS EAST, DUBLIN 11",,Dublin,33000.0,Yes,No,Second-Hand Dwelling house /Apartment,,18,12,2019,2019-12-18
"TOWER VIEW, BELVELLY, COBH",,Cork,117000.0,No,No,Second-Hand Dwelling house /Apartment,,30,3,2017,2017-03-30
"CHAPEL HILL, CARLINGFORD, LOUTH",,Louth,150000.0,No,No,Second-Hand Dwelling house /Apartment,,24,11,2020,2020-11-24
"14 RIVERSIDE, MAIN STREET, CASTLEREA",,Roscommon,38000.0,No,No,Second-Hand Dwelling house /Apartment,,2,8,2018,2018-08-02
"15 ASHLEIGH PARK, COOLCOTTS, WEXFORD",,Wexford,155000.0,No,No,Second-Hand Dwelling house /Apartment,,15,5,2017,2017-05-15
"2 THE FAIR GREEN, FRENCHPARK, ROSCOMMON",,Roscommon,102000.0,No,No,Second-Hand Dwelling house /Apartment,,28,8,2019,2019-08-28
"2 SILVERWOOD, FERRYBANK, WATERFORD",,Kilkenny,205000.0,No,No,Second-Hand Dwelling house /Apartment,,11,12,2017,2017-12-11
"THE BRAMBLES, NEWTOWNBOND, EDGEWORTHSTOWN",,Longford,95000.0,No,No,Second-Hand Dwelling house /Apartment,,19,6,2018,2018-06-19
