Year,County,Income_Indices,Income_Per_Person_euro
2010,Cavan,92.05058611,23457.19974
2010,Donegal,77.78483858,19821.86722
2010,Leitrim,94.47540409,24075.11476
2010,Monaghan,81.49870196,20768.26896
2010,Sligo,90.79174816,23136.41077
2010,Galway,98.69005065,25149.13081
2010,Mayo,87.63279608,22331.41676
2010,Roscommon,89.33653721,22765.58017
2010,Dublin,114.6838254,29224.81553
2010,Kildare,104.4897558,26627.06646
2010,Meath,105.2931566,26831.79662
2010,Wicklow,96.2978103,24539.51752
2010,Louth,94.6730957,24125.49241
2010,Laois,91.6157193,23346.38288
2010,Longford,86.36743184,22008.9647
2010,Offaly,81.97215939,20888.91986
2010,Westmeath,89.92394441,22915.26882
2010,Clare,94.80142026,24158.19328
2010,Limerick,99.71623725,25410.63336
2010,Tipperary,92.77836976,23642.66044
2010,Carlow,91.63221647,23350.58684
2010,Kilkenny,89.33778493,22765.89812
2010,Waterford,92.45710574,23560.79291
2010,Wexford,94.60894418,24109.14471
2010,Cork,100.639342,25645.86763
2010,Kerry,84.16817185,21448.52849
2011,Cavan,85.29015233,21311.72242
2011,Donegal,77.4419663,19350.67115
2011,Leitrim,91.07249157,22756.57397
2011,Monaghan,85.62894538,21396.37772
2011,Sligo,91.13091057,22771.17132
2011,Galway,92.84967445,23200.64433
2011,Mayo,87.22498716,21795.18577
2011,Roscommon,85.66571442,21405.56532
2011,Dublin,117.6102093,29387.63815
2011,Kildare,102.7482377,25674.0299
2011,Meath,98.11595213,24516.54593
2011,Wicklow,99.99150487,24985.19628
2011,Louth,91.49204308,22861.40865
2011,Laois,88.65439172,22152.35565
2011,Longford,84.52009908,21119.30676
2011,Offaly,82.41315962,20592.83908
2011,Westmeath,89.02597818,22245.20514
2011,Clare,90.80129278,22688.80867
2011,Limerick,110.6530875,27649.23993
2011,Tipperary,90.79952516,22688.36699
2011,Carlow,91.47956817,22858.2915
2011,Kilkenny,88.33458983,22072.44573
2011,Waterford,92.88222676,23208.77828
2011,Wexford,86.92586788,21720.44389
2011,Cork,99.84716368,24949.12928
2011,Kerry,85.53677189,21373.34604
2012,Cavan,84.13222626,21802.59135
2012,Donegal,75.26538063,19504.7773
2012,Leitrim,89.60981381,23222.09026
2012,Monaghan,79.31378447,20553.90792
2012,Sligo,91.85273714,23803.33651
2012,Galway,94.27968127,24432.27114
2012,Mayo,86.57182694,22434.80589
