Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
12/1/2016,"NEAMH COTTAGE CARRIGDANGAN, KILMICHAEL, CORK",,Cork,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
9/9/2010,"No.5 O'Brien Street, Waterford",,Waterford,"€7,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2018,"CLOGHERANE, LAURAGH, KILLARNEY",,Kerry,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2014,"27 The Oaks, Frenchpark",,Roscommon,"€30,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/11/2010,"71 Laurel Grove, Tagoat, Wexford",,Wexford,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"TULLYCULLION, DONEGAL",,Donegal,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2010,"New Road, Clara",,Offaly,"€252,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2017,"36 Miller's Court, Old Quarter, Ballincollig",,Cork,"€265,175.11",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/08/2017,"APT 5 KAYNIA GIRL, STABLE YARD, TENNYPARK",,Kilkenny,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2014,"7 ADDISON HALL, ADDISON AVE, ADDISON PARK DUBLIN 11",Dublin 11,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/8/2017,"9 LIMELAWN GLADE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2019,"BAY VIEW HEIGHTS, BALLYLOSKEY, CARNDONAGH",,Donegal,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2014,"18 SANDYVALE LAWN, HEADFORD RD, GALWAY",,Galway,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2021,"2 KILCORAN LODGE HOLIDAY HOMES, KILCORAN LODGE HOTEL, CAHIR",,Tipperary,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
1/11/2019,"COUMROE, CARRIGATOGHER, NENAGH",,Tipperary,"€416,500.00",No,No,Second-Hand Dwelling house /Apartment,
4/12/2018,"67 RIDGEWOOD SQ, SWORDS, DUBLIN",,Dublin,"€296,000.00",No,No,Second-Hand Dwelling house /Apartment,
4/3/2020,"ASHLAW, OLDTOWN, DUBLIN",,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"34 THE CLOSE, CLONATTIN VILLAGE, GOREY",,Wexford,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
4/5/2016,"15 AVE MARIA RD, MARYLAND, CORK ST DUBLIN 8",Dublin 8,Dublin,"€193,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2019,"7 GRIFFITH DRIVE, FINGLAS EAST, DUBLIN 11",,Dublin,"€33,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/03/2017,"TOWER VIEW, BELVELLY, COBH",,Cork,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2020,"CHAPEL HILL, CARLINGFORD, LOUTH",,Louth,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
2/8/2018,"14 RIVERSIDE, MAIN STREET, CASTLEREA",,Roscommon,"€38,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2017,"15 ASHLEIGH PARK, COOLCOTTS, WEXFORD",,Wexford,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2019,"2 THE FAIR GREEN, FRENCHPARK, ROSCOMMON",,Roscommon,"€102,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2017,"2 SILVERWOOD, FERRYBANK, WATERFORD",,Kilkenny,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
